accession_number	short_title	description	fabric
L.2011.1.39	stopper fragment	Black glaze	 
L.2011.1.4	lamp fragment	Patterning around the edge, with short parallel incised lines between two incised lines.	 
L.2011.1.40	circular	Smoothed faces, green with black flecks probably (marble)	 
L.2011.1.41	lamp fragment	In a lowered band on the edge of the body there is a hearth in low-relief.	 
L.2011.1.42	lamp fragment	Decorative pattern in low-relief on the edge of the body (floral, with two six-foils alternated to little plaints, and another one inscribed in a square); decoration in low-relief on the central discus.	 
L.2011.1.43	african red slip lamp fragment	On the shoulder floral pattern (quatrefoil figures). In the central discus part of a cross symbol, possibly a chi-rho monogram.	african red slip
L.2011.1.44	lamp fragment	In a lowered band on the shoulder there is a hearth in low-relief, with concentric grooves inside; a piece of a second hearth is on the other side of the bulge. Other decorations in low-relief on the central discus (reversed monogrammed cross?).	 
L.2011.1.45	postcard booklet	a series of 20 photographic postcards of Carthage	 
L.2011.1.46	fragment of pot lid	 	 
L.2011.1.47	coarse pottery fragment of pot lid	 	coarse pottery
L.2011.1.48	lamp, deneuve type viia or b	In the central discus one reclining figure recumbent on its right side; right leg bent, left leg outstretched. Behind the legs a fish tail. At the back of the figure a drapery, like a semi-circular frame around the head. (possibly a Nereid riding a sea-bull?). On the edge parallel lines in low-relief.\\nOn the underneath inscription and a small half-moon shaped stamp.	 
L.2011.1.49	coarse pot lid fragment	Three grooves creating two mouldings in the lower part; five incised lines on the flat tip of the knob. In the underneath concentric mouldings.	coarse
L.2011.1.5	fragment	 	 
L.2011.1.50	pot fragment	black and jade green glaze inside, green outside.	 
L.2011.1.51	terra sigillata (african red slip?) pot fragment (little amphora)	Pattern on the handle(short horizontal lines on the edge, one on the left, two on the right); moulded ring at the junction between rim and neck, with a pattern (short vertical incised lines) above and below.	terra sigillata (african red slip?)
L.2011.1.52	fossil	spiral shaped	 
L.2011.1.53	italic terra sigillata pot fragment	Red glaze. Two figures in low-relief: on the right a human figure with legs outturned, on the left a human face (mask) with a sort of base or plate on the head; above the plate two legs of an incomplete human figure. On the sides of this composition two vertical patterns, composed by short horizontal signs with below a six-ends star.	italic terra sigillata
L.2011.1.54	rectangular	On one side 4 incised lines	 
L.2011.1.55	curved	 	 
L.2011.1.56	oval	Raised frontal image of a bearded man in a short tunic and hat, holding a rectangular shield in his left hand and leaning on a (?) club with his right, and with a wheel on his left hand side	 
L.2011.1.57	diamond fragment	 	 
L.2011.1.58	pipe fragment	 	 
L.2011.1.59	pipe	 	 
L.2011.1.6	mosaic fragment	 	 
L.2011.1.60	pipe	 	 
L.2011.1.61	pipe	 	 
L.2011.1.62	pipe	 	 
L.2011.1.63	fresco fragment	Red background, with three white bands near edges, like a frame. Two couples of pale green leaves.	 
L.2011.1.64	mosaic fragment	Pale green, grey, pale blue and dark blue\\/purple tesserae on a white mortar. Grey and green tesserae are in the background; darker colours (blue\\/purple) create a circular shape, with lighter colours in the middle (pale blue and green).	 
L.2011.1.65	pink and red tesserae thinner and made of terracotta mosaic fragment	Pink, red, black and white tesserae (one line for each colour) with a curving pattern inside black tesserae background surrounded by white band composed by three tesserae (width), forming a square or a rectangle.	 
L.2011.1.66	tessera ranges from 0.5-1 embedded in mortar mosaic fragment	One line of black tesserae on a background of white tesserae.	 
L.2011.1.67	tessera ranges from 0.5-1cm embedded in mortar mosaic	One line of black mosaics on a white mosaic field	 
L.2011.1.68	pink and red tessera thinner and made out of terracotta mosaic	Pink, red, black and white tessera with a curving pattern inside black tessera boarder surrounded by white tessera.	 
L.2011.1.69	ridges on the inside of the pipe segment pipe segment	 	 
L.2011.1.7	mosaic fragment	 	 
L.2011.1.70	shell fragment	Pearlescent coating	 
L.2011.1.71	glass fragment	Gold leaf oxidized, with pearly iridescence.	 
L.2011.1.8	mosaic fragment	 	 
L.2011.1.9	fragment	 	 
L.2012.9.1	mould-made lamp	The discus contains a frontal, bearded figure of Zeus Sarapis behind an eagle with outstretched wings. A continuous border of volutes, possibly foliate, interspersed with dots with volutes enclosing the round nozzle. Three swastikas evenly spaced around the underside of the lamp.	 
L.2014.8.1	coin	Reverse: Anchor	 
L.2014.8.2	coin	Obverse: Portrait personification of Roma facing left\\nReverse: Wolf suckling twins with two stars above	 
L.2014.8.3	coin	 	 
L.2014.8.4	coin	 	 
L.2014.8.5	coin	Obverse: Head of Maximian facing right\\nReverse: Emperor receiving Victory from Jupiter	 
L.2014.8.6	coin	Obverse:Portrait facing right.\\nReverse:Human figure faintly visible.	 
REDMG:1926.99.50	Corinthian incised ball aryballos	Black band on inside of mouth; three black bands on rim; exterior off lip decorated with a series of dots; handle decorated with vertical bars on either side. Daisy petals extend from the neck (each petal is decorated with a white dot), below which are two lines, a warrior frieze, two lines, and a black band . The three warriors, lightly incised, each stand profile to the right, and are indicated by two lines (extending from the top right and bottom left) for the spears, and two more lines (extending below) for the legs; each carries a large round shield decorated with incised circles.	Corinthian
REDMG:1926.99.52	Corinthian alabastron	Daisy pattern on upper surface of rim; vertical bars on lip; crouching sphinx, profile to the left, on the body, with her feet curled down to the base, which is decorated with a 8 \\'pointed\\' star, surrounded by four 8-quadrant rosettes (five similar rosettes also in the field). Added colour (red) on the chest, wing, and underside of body. Incisions on figure and rosettes.	Corinthian
REDMG:1926.99.54	Attic black figure; added white; incised lekythos	Mouth black interior and exterior; reserved neck; black on exterior of handle; band of black vertical bars above white band decorated black rays on shoulder, extending to carination. Body, top: white band decorated with two rows of black dots joined by a thin black zigzag (at front, only), above two black lines; figural scene (front only); white band; black band between two black lines; black to foot and on top of foot; otherwise reserved. Figural scene is of a chariot behind which stand three draped female figures (two women, standing profile to right, towards a third figure, standing profile to left. A fourth female  figure sits profile to left, in front of the chariot. All four figures are draped, wreathed (with red bands), and have white faces.	Attic
REDMG:1926.99.59	Boeotian floral ware pyxis or handleless bowl	The interior and the rim are coated with a streaky black glaze. Exterior: dots, black band, floral zone comprised of inverted lotuses alternating with palmettes, both rising from volutes, black band, double band of alternating black dots. Reserved resting surface and underside, except for two concentric red bands, one on interior vertical wall.	Boeotian
REDMG:1926.99.60	Corinthian or Attic white ground; black glaze lekythos	Body: white with two yellow lines near the top and bottom; black on lower part of body and upper part of foot, which is reserved underside	Corinthian or Attic
REDMG:1926.99.61	Attic (?) white ground lekythos	 	Attic (?)
REDMG:1934.26.1	South Italian black figure \\\\\\'ionian\\\\\\' cup	Thinly applied black glaze on interior, handles, and lower part of bowl, as well as a narrow band at the bottom of the lip, and the exterior surface of the foot.	South Italian
REDMG:1934.51.8	South Italian black glaze bowl	Black glaze all over, although patchy (perhaps as a result of poor firing) on the lower part of the body and foot.	South Italian
REDMG:1934.53.4	Etruscan black figure stemmed dish	Lip decorated with a band of sloping \\'z\\'s; black band on rim; bowl decorated with central dot, two concentric circles and a broad band where the plate joins the rim; stem and upper surface of foot black, otherwise reserved.	Etruscan
REDMG:1934.53.5	Faliscan impasto jar	 	Faliscan
REDMG:1935.87.1	Apulian gnathian; superposed colour trefoil oinochoe	Black glaze except for reserved band at join with foot and underside, including resting surface. At the front of the body, the shoulder is decorated with an incised ovolo grieze between two incised lines; this frieze is accentuated with white inscribing the eggs and white dots between the eggs. Beneath is another pair of incised lines between two rows of white dots. The body is decorated with a red band from which emerges, above and below, (ivy) sprays, in added white \\u0091gilded\\u0092 with yellow; two clusters of grapes (again white \\u0091gilded\\u0092 with yellow) hang from this band. Some clusters of three red dots on lower part of body.	Apulian
REDMG:1935.87.10	Corinthian skyphos	Pale buff ground.  Outside: vertical worm pattern (curved zigzag) on handle zone; below, wide red band between two narrow red bands, two black bands, black around foot. Resting surface reserved, red band round inside of foot ring. Inside black with hints of a red band.	Corinthian
REDMG:1935.87.11	Corinthian kylix	Exterior decorated with vertical black\\/brown bands. Both handles are coloured brown on the outer parts, but reserved inside. The base is decorated with a black band on its exterior. On the interior of the rim is a broad black band, then a red band. The design in the tondo shows two ears of grain on either side of a red rosebud on a stem (or a lotos, according to the authors of Corinth 15.3).	Corinthian
REDMG:1935.87.12	Corinthian pyxis	The interior is decorated with two broad black bands. The lip is red and from top to bottom the pattern consists of three red bands with dots on them, a black band, two more dotted red bands, a red band, three dotted red lines, black, red, and black bands. Foot-ring black on both sides; resting surface reserved. Underside reserved with three concentric black rings and black centre.	Corinthian
REDMG:1935.87.13	Attic (?) cup	Inside black except reserved band at rim 0.5cm wide. Red and black band around rim, beneath which is a reserved band. Thin black and red band just above handle followed by further wide reserved band approximately 1.2 cm wide. One handle reddish brown, the other black, both dipped. Lower body black with one dark red-brown patch below redddish brown handle. White deposits on joint between body and foot. Flared foot also black with reserved base and broad resting surface.	Attic (?)
REDMG:1935.87.14	Corinthian stamnos-pyxis	Black rim. On shoulder Z-pattern between red bands; below, a pair of bands; much lower, three bands and then one, all in brownish-black on creamy-buff ground. Underside reserved except for line of black on resting surface.	Corinthian
REDMG:1935.87.15	South Italian black glaze cup; one-handler	Metallic black glaze except reserved band where body joins foot, slightly streaked above; reserved underside.	South Italian
REDMG:1935.87.16	Attic black glaze skyphos	Handles painted black on the top and reserved underneath.  Reserved thin line inside lip and on outer side and bottom of footring.  Ring foot is black although underneath is ruddled, except for black centre and one small black ring.  Streaky glaze in places.	Attic
REDMG:1935.87.17	Corinthian pyxis	(a) Pyxis: unpainted inside. From top to bottom, bands, tongue pattern repeated, bands (red and black of varying widths: two broad red bands within a group of four thin black lines; lower, a black band), red foot; concave base. (b) Lid: central knob with bands and bands on neck. Shoulder pattern is tongues with alternating red and black coloured centres. Bands on edge of lid.	Corinthian
REDMG:1935.87.18A	Corinthian oinochoe	Small patches of black remaining on body. On shoulder, radiating single incised lines.	Corinthian
REDMG:1935.87.18B	Corinthian oinochoe lid	 	Corinthian
REDMG:1935.87.19	Corinthian aryballos	Traces of four (?) bands on mouth and three lines on handle. Tongues on shoulder with two bands below. Main design (starting from below handle going left to right) a human (?) figure on a horse facing right, a lion biting the foot of a warrior who is defending himself with shield, a large creature (possibly a panther), and a man. These pictures are all incised. Dots and rosettes incised with asterisks in field. Five bands around base.	Corinthian
REDMG:1935.87.2	East Greek black figure amphora	Inside of mouth and exterior of rim black, while lip is reserved. Body is mostly reserved. Handles are black on the outside, and reserved on the insides. Below the handles are three thin black bands. The top of the foot and a thick band above it are black, but resting surface and base are reserved.	East Greek
REDMG:1935.87.20	Corinthian oinochoe	Two red bands around widest part of body and red band on base.	Corinthian
REDMG:1935.87.21	Protocorinthian late protocorinthian - transitional scale aryballos	Mouth: broad band between two narrow bands; handle: horizontal bars; shoulder: daisy pattern; body: band above and below zone of incised scale pattern on black, with incised dot in each scale; below: daisy pattern emerging from narrow band just above base.	Protocorinthian
REDMG:1935.87.22	Corinthian aryballos	Tongues emerging from mouth between two bands. Dots around the rim and tongues again on shoulder. Zigzag with two dots on handles. Main design is five warrior figures facing left, carrying large shields. Each shield is bisected with incised vertical parallel lines and coloured one half red and the other half yellow. The outer ring of the shield is brown, and the helmets which the warriors appear to be wearing are yellow. The base has two bands around tongues with two bands the other side.	Corinthian
REDMG:1935.87.23	Apulian red figure kantharos	Handles all black. Mouth has wide rim, inside is all black but streaky.  Reserved band under rim.  Design is similar both sides and shows a woman\\'s head facing left with ornate head dress and jewellry on in white and yellow added paint.  Under handles on body is a red block between white lines with dots down originally. Stem is long and has a moulded band around centre. Foot has three steps all black (faded to red).  Base is also stepped inside but reserved.	Apulian
REDMG:1935.87.24	Attic black glaze; incised stemmed dish	There is a reserved ridge on top of the foot, while the side of the foot is also reserved and rounded. The surface underneath is ruddled with broad black band just within a resting surface. Lastly, a steep, narrow cone is formated inside the stem. The ellipsoid body is supported by a slim stem, which ends in a disk-shaped base, with concentric, incised circles.	Attic
REDMG:1935.87.25	Corinthian red figure pelike	Black except for the figural design, with friezes above and below it; reserved but ruddled resting surface. A. Horizontal friezes on neck and below figural scene, consist of two vertical bars alternating with circles, reserved bands above and below. Scene: nude satyr, standing profile to right, with his left foot raised on a rock, faces a draped woman, seated 3\\/4-view to right, with her head turned profile to left. He raises his right hand towards her, and rests his left arm on his knee. She holds a mirror in her upraised left hand. Five ivy leaves in field between them. B. Horizontal friezes on neck and below figural scene consist of chevrons to left, between reserved bands. Scene: Two draped youths in conversation, face each other on either side of a stele. Yellow and white details: white fillet on satyr, bracelets and necklace on woman, and spots on the mirroron  Red wash on reserved areas suggests imitation of Attic red figure. A pair of incised lines run horizontally across side A, and another line runs horizontally across side B; further incised lines around the upper body of the woman indicate that these might be an artist\\u0092s guidelines.	Corinthian
REDMG:1935.87.26	Corinthian lekythos	Black with two broad bands of superimposed red around upper part of body, one on neck just above moulded ring, two more around lower part, two on foot. Underside reserved.	Corinthian
REDMG:1935.87.27	Corinthian skyphos	Two handles, partially painted black. Inside is a red rim, then black with two red bands superimposed. Outside (from top to bottom) are two thin bands, three rows of uneven dots, middle row red, three bands, two rows of small dots, three bands, broad area left clear, three bands around foot, foot red.  Highly ornate base with dots, red band (repeated) and in centre is a cross with four dots around it.  The base has moulded ridges for added decoration.	Corinthian
REDMG:1935.87.28	Attic black figure skyphos	Inside black, reserved line at lip. Two kylix handles, black on the top and reserved underrneath.  Main picture is in handle zone and is similar on both sides.  Shows Dionysos seated, flanked by palmettes with vines running either side of him.  Detail picked out in red and white.  Foot rind reserved outside, black inside.  Base reserved with central dot, small ring in dripped glaze, thick black ring and near circumference also fire circles in thinned glaze.	Attic
REDMG:1935.87.29	Italian black glaze kylix	Heavy fabric. Black all over except underside which is reserved and ruddled. Two handles, one either side are black all over. Stamped inside with four palmettes set crosswise, standing up in relief with an impressed frame.	Italian
REDMG:1935.87.3	Apulian red figure lekythos	Black inside, outside and rim.  Handle is black all over as is top half of neck.  Lower half of neck has an umbrella pattern with 12 tongues on top.  Large palmette with tendrils under handle on body and tendrils either side of scene.  Scene is a woman standing, facing right, holding mirror in right hand and a box in left looking at seated Eros who is holding a mirror in his right hand.  Added yellow over white, and white on Eros\\'s wings, mirrors, box and headresses.  Traces of miltos. Reserved band beneath scene.  Black foot but reserved resting surface and base. (Modern) red cross drawn on base.	Apulian
REDMG:1935.87.30	Corinthian bowl or pyxis	Reserved interior.  Pattern consists of three red bands on an almost white ground.  Remainder of pyxis is reserved, as is the base, which is flat.	Corinthian
REDMG:1935.87.31A	Corinthian lekanis	Red rim; two handles, coloured black. In the handle zone pomegranate pattern in three rows, the middle row red; below, one red line between two black; a broad black band with a pair of superimposed red lines at top and bottom; one red line an done black immediately above foot. Foot-ring black outside, two black rings on resting surface; inside of foot-ring red; on the bottom a central dot and pair of small thin rings, near the circumference a broad ring, all black. The edge of the flange supporting the lid, red. Handles black. Inside of bowl originally black with traces of one pair of red circles.	Corinthian
REDMG:1935.87.31B	Corinthian lekanis lid	Lid: on the rim of the knob, black silhouetted triangles pointing outwards; below teh knob, black rays; four circles, the second and fourth red; round the edge below the animal zone a black band between two black lines; on the vertical rim a red band, and again a black band between lines. In the animal zone, on one side a palmette-lotus complex, flanked by a pair of sirens; on the other a siren flanked by a panther on the left and a lion on the right. Small incised circles on the body of teh panther, incisions on the lion. Field ornaments include rings of dots with or without a circle at the centre, scattered dots, amorphous and cruciform rosettes with incisions crossing at centre, rosettes with incisions forming small arcs facing away from the center. Some remains of added red on neck, breast, and tail of sphinxes, heart of palmette and petals of lotus. Inside of lid reserved.	Corinthian
REDMG:1935.87.32	Apulian red figure column krater	There is a broad, black band at the interior of the rim. On the top of the rim there are black tongues, apart from the surface of the handles, decorated with palmettes. Waves are used to decorate the edge of the rim, while the handles bear small palmettes on their sides and the rest is painted black, as is the body between. Both neck panels have ivy and dots joined by vine. Both sides of the body show a female head, facing left and wearing a decorated cap with a spiked stephane over it. There is a small window (rectangular motif with black vertical line), top right on both sides. Side A, however, has a strigil with wavy endings above the head, top left. Side B has a knot of hair emerging through the apex of the cap. On both sides there are volute-shaped motives at the end of the cap and below the woman\\'s chin. Side A: The woman wears a black earing (a circle and hanging dots) and a neclace of black beads. A hair with a heart-shaped ending falls vertically over her neck. On the other hand, the woman on side B wears a similar but yellow earing and a neclace made of yellow beads. Both women are framed by two vertical red bands, decorated with two similar motives of a vertical row of dots between thin lines. These columnar patterns seem to support a horizontal red band over the head, ornated with tongues between thin lines (one above and two below). However, the surface under the heads is not identical for both sides. Side A has a red band with dots between lines and side B has two parallel lines and the wave pattern. Both the scenes are partly ruddled and added yellow is used to render the details. Miltos apparently was applied last.The lower half of foot is ruddled.	Apulian
REDMG:1935.87.33	Apulian red figure bell krater	Rim has terracotta concentric circle around the centre, leading to with a continous olive leaf pattern underneath.  A: Satyr in diadem and shoes, carrying flaming torch and situle, follows woman carrying barrel of grapes and ornamented box (cista).  Goats skull and rosettes in field.  B: two youths with sticks in conversation.  Three rosettes can be found on either side of the youth. Palmette design can be found under each handle and a dash pattern circles around every handle. Yellow and white colour can be found added to the pieces especially the picture of the satyr.  Underneath each figure is a continous wave pattern which continues around the base of the krater.	Apulian
REDMG:1935.87.34	Apulian red figure column krater	Inside is reserved except for inside of mouth.  Top of mouth is red with black wave.  Black palmettes on top of handles protrusions.  Handles are made of two bars with large square at top.  Black between handles and all down body.  Side A has an arrow pattern on rim, ivy leaf and dot rosette pattern on lower half of neck, black tongues, warrior in the centre leading two prisoners.  Warrior has shield helmet.  Rosettes and fillet in field.  Double row of dots either side and wave pattern underneath.  Side B has an \\'SSS\\' pattern with dots on rim, lower half of neck has ivy leaves with dot rosettes, black band, black tongues, scene of three youths in conversation with crossed circles in field, double row of dots either side and \\'SSS\\' pattern with dots at bottom.  Black body, reserved stem, black foot with reserved groove, resevred band at base. Reserved conical base.	Apulian
REDMG:1935.87.35	figurine	White on face, red on head.	 
REDMG:1935.87.4	Apulian red figure oinochoe	Mouth is black just inside rim but interior walls are reserved.  The handle is black all over as is back of neck and back of body. On neck at the front is a wave pattern which forms the horizontal part of a reserved outline to the picture. Within this box is a woman with flowing robes, facing to the right holding a wreath in her right hand and a plate \\/ tray in her left.  Tendril pattern to her right at bottom of picture and a rosette in the field.  Added white to bracelets, head dress and rosette.  Foot was originally black outside with reserved resting surface and flat base.	Apulian
REDMG:1935.87.5	Attic black figure lekythos	 	Attic
REDMG:1935.87.6	Campanian black figure lekanis	Black glaze on interior and ends of handles (dipped) as well as vertical surface of the rim, the lower body, and the lower element of the foot, as well as the interior side wall of the foot. Otherwise reserved, except for vertical bars in handle zone, on either side.	Campanian
REDMG:1935.87.7	Apulian red figure oinochoe	Mouth is blacked just inside rim, leaving interior walls reserved.  Handle, back of neck, and back of body are all black.  Wave pattern on neck forms upper part of a reserved frame around a figural scene.  This scene depicts a horned youth, running to right but facing profile to left, with cloak over his left arm, carrying a tray in his right hand.  Tendrils each side of him emerge from the base and four rosettes and one fillet are in the field. Added white and yellow on horns, rosettes, tray and head dress. Foot is black on outside and the base is reserved.	Apulian
REDMG:1935.87.8	Attic black glaze stemmed dish	Inside is black with no reserved sections.  Outside is black with a groove just below rim and another two at top of stem.  Foot is flat and black on the top but reserved on the side.  Black band around very bottom of side of foot.  The resting surface is reserved and the inner foot ring is black.  Small reserved circle raised up inside foot with a black band and a small black central dot.	Attic
REDMG:1935.87.9	Attic black figure kylix	Band cup with chain of palmettes and lotus buds.  Traces of white dots in cable and white on upper parts of buds.  Inside reserved band at lip and reserved disk 0.065 m in diameter with two small concentric circles at centre.	Attic
REDMG:1942.5.6.1	Corinthian late corinthian i ball aryballos	Five bands around mouth, some broader than others; one broad band encircles the exterior of the rim; short tongues emerge from the neck, over the shoulder.  Body: quatrefoil pattern at front; four-pointed star at back.	Corinthian
REDMG:1942.5.6.2	Corinthian black glaze; dipped oinochoe	Black glaze on top 2\\/3 of body; some accidental drips descend over the remaining third of the body, at the back. Some areas fired red.	Corinthian
REDMG:1947.13.1	Apulian red figure; added colour (white and yellow) pseudopanathenaic amphora	Black mouth inside and out, otherwise reserved inside. Below the rim, on the lip, is a white laurel wreath, to right. On neck, between black handles, a 9-leaf palmette, with a black dot for heart and black dot on either side of central petal; black ridge between two black lines; frieze of vertical bars beneath each handle; beneath each handle a large palmette above a pair of volutes, from which emerge vegetal ornament. A: Attenuated ovolo frieze between two black lines; white ribbing (painted); two reserved bands; floral frieze with white head, to left, at centre, emerging from a calyx from which emerge also tendrils, berries, volutes, and blossoms; reserved frieze; scene. B: Continuous maeander to right, between two pairs of lines; black ribbing (painted) between two black lines; flanked by vegetal ornament, from which emerges quarter palmettes and volutes, a female head, profile to left, wearing white stephane, and white sakkos, from which emerges curly black hair, at front and black; white drop earring on an inverted triangle. Below the body zone, around the entire vase, is a decorative band consisting of dotted cross squares (1) alternating with stopt maeanders to left (3) between two reserved bands; black below.\\n\\nScene, A: A woman, standing in 3\\/4-view to the right, with head profile to right, hair emerging from the back, a sleeveless, belted chiton, a himation draped over her left arm, a pair of white slippers, holds a palmette fan, with white detail, in her upraised left hand, and a branch (similar to a thyrsos) in her left hand, at a diagonal. She also wears a white stephane and a sakkos with black and white detail, from the back of which emerges a tuft of hair, a white beaded necklace between two thin chains (rendered by black lines), and white snake bracelets on each arm. She faces a naiskos enclosure, decorated in gilded white, with thin Corinthian columns and a black pediment, on a podium decorated with a simple continuous maeander to right, between a two pairs of white lines. Enclosed within the naiskos is a warrior, rendered in white with yellow details, seated in 3\\/4-view to the left, on a himation, with his legs crossed, and his left elbow resting on the back of his seat. He holds a crested helmet in 3\\/4-view to the right, at which he stares, and a diagonal spear in his left hand. On the ground below him is a small shield. To the right is a nude youth, standing in a reclining pose, 3\\/4-view to the left, wearing a white fillet in his hair, and white slippers. He holds a himation, bundled up around his left arm, and an opened box as well as a dotted, fringed sash, in his right hand. A thin rectangular element, perhaps a dagger, emerges from the opened box. A (heart shaped) ivy leaf hangs in the field above him.\\n\\nWhite dotted lines indicate the groundline between all figures.\\nDetails on the shoulder rays and, ornaments in the field, and all figural scenes are rendered in added white, sometimes \\'gilded\\' with yellow wash.	Apulian
REDMG:1950.25.1	Apulian red figure; ruddled; added colour (yellow and white) oinochoe: mug	Black interior to bottom of rim. Laurel wreath, to right, on neck, above a row of widely spaced dots. Body decorated with egg-and-dot frieze, between reserved bands, which stops short of the handle on either side; figural zone except beneath handle (palmette with floral blossom at centre, three vertical lines at heart, vegetal ornament and flowing tendrils on either side); inverted waves, to right. Exterior surface of foot is ruddled on the upper part. Reserved resting surface and underside except for black circle at centre, surrounded by broad ruddled band, and black on inner foot ring.\\n\\nThe figural scene shows a female figure, dressed in a belted, sleeveless chiton, reclining  on her front, profile to right, reaching towards a phiale held by Eros, who advances profile to left, crouched and holding a wreath in his lowered right hand and a phiale in his upraised left hand. Both wear their hair identically: spike stephanai, sakkoi, and pony tails. Behind Eros a bird, profile to the right, on a perirrhanterion (pedestal basin). Added white, \\u0091gilded\\u0092 with yellow, on floral and vegetal ornament, headdresses, wings, and basin.	Apulian
REDMG:1951.113.3	Apulian: Messapian (?) gnathian; black-glaze; overpainted skyphos	Black glazed except for reserved areas: lower part of body, reserved (interrupted by a black line); upper part of foot, and underside (resting surface glazed black except for a reserved band). Back decorated with a (white) wavy ivy garland beneath handle; front decorated with two incised lines, egg-and-dot frieze on which eggs are surrounded by incised lines; another pair of incised lines; waves to right, garland from which hang alternating fronds and bunches of grapes, with longer sprays at sides; on a pair of dotted groundlines stands a bird (wren?), profile to left, between two flowers.	Apulian: Messapian (?)
REDMG:1951.130.1	Etruscan black figure; pseudo-chalcidian oinochoe	Black band on interior, reaching to ca. 1.0 cm. below the lip; black neck and handle. Shoulder: reserved tongues, alternatively red and black at centre, on a black band (tongues extend partly over the upper ridge, on the right side). Body: komos comprised of eight nude male dancers with purple hair and incisions delineating hair, eyes, muscular and other bodily details; under handle, black column krater (decorated with two incised lines on shoulder, purple band and incised rays band between incised lines on body); in field between dancers, seven rosettes with single or double incised central circle  and incised petals. Below, broad black band between two black lines; black rays emerge from base. Foot black on exterior, otherwise reserved.	Etruscan
REDMG:1951.131.1	Apulian red figure alabastron	Black rim and neck, except for a thin reserved band just above the join with the body; body decorated with three reserved bands above an egg-and-dot band and another reserved band; row of white dots at top of figural scene. Below, band comprised of stopt maeanders (3) alternating with cross-in-square (1), between two reserved bands; broad reserved band at join of body and foot; reserved band on lowest ridge of foot as well as resting surface and underside.\\nA: A draped woman runs in 3\\/4-view to the right but looks back, profile the left. She holds in her lowered right hand a wreath from which a garland hangs and in her upraised left hand a box (decorated with bands, chevrons, and zigzags, as well as white dots above the box), while drapery falls over her left arm. She wears a stephane and a kekryphylon with dangling ribbons, beaded earrings and double necklace (indicated by white dots), double bracelets on each wrist, a belted, sleeveless chiton, and slippers. In the field are a fillet (upper left), a rosette with five white dotted petals and a yellow centre (upper right), and a shrub with berries (lower centre), as well as a white dotted groundline rising slightly to the right. B: Eros, holding a beaded necklace in his extended right hand, is seated in 3\\/4-view to the left on a flower. The leaves and buds of the same plant elaborately fill the field beneath and around him. He wears attributes that are similar to those of the woman on A: stephane, kekryphylon, earring, double beaded necklace, double bracelets, and slippers. He also wears a beaded baldric diagonally across his chest and ankle bracelets (3 on each ankle) and a baldric comprised of a row of white dots arranged diagonally across his chest, over his left shoulder.\\nAdded white is used for details of Eros\\' wings as well as the jewelry, box decoration, slippers, vegetation and groundlines, as well as the centre parts of the eggs on the egg-and-dot band.	Apulian
REDMG:1951.132.1	Apulian; Calenian black glaze; ruddled; askos: guttus	Metallic black gloss on entire surface (dipped) except for reserved (and ruddled) upper part of foot and underside, including resting surface. In addition to molded mask, and ribbed shoulder decoration (see above), incised (although glazed) cross under spout.	Apulian; Calenian
REDMG:1951.133.1	Campanian black glaze; incised kylix	The surface is treated with a metallic black glaze, applied more casually (streaky) on the lower part of the body; reserved band just above foot and reserved (matte grey) underside except for a black concentric circle. There is a single incised concentric circle in the tondo.\\n\\nThe iridescence and matte grey areas suggest that the lower part of the vase was (inadvertently?) exposed to (too much) heat, either in the factory or afterwards.	Campanian
REDMG:1951.134.1	Apulian red figure; ruddled; added colour (white and yellow) deep skyphos	Black interior and handle; beneath each handle a palmette, flanked by tendrils; on each side a wave band, to right, above a woman\\'s head, profile to left, surrounded by tendrils. Banded decoration below is comprised of a reserved band just below the figural scene, a pair of red bands above the foot, a red band on the upper surface of the foot, and reserved area at the centre of the underside.\\n\\nThe common use of red stain to effect a red (ruddled) surface on reserved areas is highlighted in this example by the almost complete loss of black glaze towards the foot, where the ruddled intervening bands strongly contrast with the buff\\/reserved (formerly black glazed) areas.	Apulian
REDMG:1951.135.1-2	geometricising stamnos-pyxis	Pyxis: Black band on lip and at top of handles, black rays (between handles) on shoulder; broad black band between lines, carelessly applied, at widest part; narrower black band below. Lid: Black on vertical part of knob and concentric band on lid, around knob.	 
REDMG:1951.136.1	Apulian red figure; added colour lekanis lid	Upper surface of knob decorated with reserved (and reddened) band, black band on inset, cog-wheel on inset circle; lower part of knob and stem black except for a reserved (and reddened) band at the upper part of stem, and a reserved band where the stem meets the lid. The lid is decorated with two female heads, profile to left, between two palmettes. The females each wear a spiked stephane and a kekryphylon, earrings, and beaded necklace; cluster of three white dots in the field  in front of each.  Enclosed palmettes highlighted with white arcs at centre and white dots on either side of top leaf. Black wave around lip. Added colour (yellow on white) for details of jewelry. The underside is reserved.	Apulian
REDMG:1951.137.1	Apulian red figure; added colour mug lid	Inset circle of knob decorated with a cross with chevrons in the angles. Bars on rim of knob. Black stem, reserved band at attachment to lid, which is decorated with a figural scene. Bird (partridge or pigeon) standing profile to right, towards a female head (Aphrodite), profile to left, wearing dotted spiked stephane, sakkos, and a pony tail, as well as white hoop earrings and a dotted necklace. Two dotted four-petal rosettes in field behind her. Scene flanked by two sets of tendrils from which emerge lotus buds, on either side of a palmette from the top of which emerges a lotus bud. Added colour (yellow on white) for details of bird, stephane, jewelry, and flowers. Flange on edge and underside of lid are reserved.	Apulian
